Benchmark: bp4-qd (Strike-Slip Fault in a 3D Wholespace)
 
User: barbot.6 (Motorcycle, SBEM, dx=500m, W=120, L=120)
 
File: fltst_strk+165dp-120 (x2 = +16.5, x3 = -12.0 km)
            

# problem=Benchmark problem (BP4-QD)
# author=Sylvain Barbot
# date=Tue Mar 30 22:47:12 PDT 2021
# code=motorcycle-3d-ratestate
# code_version=beta
# element_size=500 m
# minimum_time_step=0.001
# maximum_time_step=12642527.3214
# num_time_steps=2932
# location=on fault, km depth
# Column #1 = Time (s)
# Column #2 = Slip_2 (m)
# Column #3 = Slip_3 (m)
# Column #4 = Slip_rate_2 (log10 m/s)
# Column #5 = Slip_rate_3 (log10 m/s)
# Column #6 = Shear_stress_2 (MPa)
# Column #7 = Shear_stress_3 (MPa)
# Column #8 = State (log10 s)
# The line below lists the names of the data fields
t slip_2 slip_3 slip_rate_2 slip_rate_3 shear_stress_2 shear_stress_3 state
# Here is the time-series data.
0.000000000000E+00 0 0.000000000000E+000 -9.06016 -16.1185 -3.220000076294E+001 -2.815013582818E-006 7.602059993903E+000
4.730784291480E+00 4.11908e-09 1.728304304307E-017 -9.0601 -16.0306 -3.220004423828E+001 3.446526635189E-006 7.602060000545E+000
2.176648428479E+01 1.89577e-08 9.668418333169E-015 -9.05979 -14.9176 -3.220028050909E+001 4.467468763887E-005 7.602060024399E+000
3.079169488441E+01 2.68257e-08 2.711511882411E-014 -9.05926 -14.4939 -3.220067804483E+001 1.183683933474E-004 7.602060036963E+000
3.287664990357E+01 2.86459e-08 3.606564415385E-014 -9.05844 -14.1969 -3.220129205091E+001 2.341048343313E-004 7.602060039838E+000
3.354150115693E+01 2.92278e-08 4.160080110031E-014 -9.05717 -13.9489 -3.220223879959E+001 4.132014808717E-004 7.602060040739E+000
3.375324906029E+01 2.94136e-08 4.431733609129E-014 -9.0563 -13.8344 -3.220289136735E+001 5.367414186162E-004 7.602060041021E+000
