Benchmark: bp4-qd (Strike-Slip Fault in a 3D Wholespace)
 
User: barbot.6 (Motorcycle, SBEM, dx=500m, W=120, L=120)
 
File: fltst_strk+000dp-120 (x2 = +0.00, x3 = -12.0 km)
            

# problem=Benchmark problem (BP4-QD)
# author=Sylvain Barbot
# date=Tue Mar 30 22:47:12 PDT 2021
# code=motorcycle-3d-ratestate
# code_version=beta
# element_size=500 m
# minimum_time_step=0.001
# maximum_time_step=12642527.3214
# num_time_steps=2932
# location=on fault, km depth
# Column #1 = Time (s)
# Column #2 = Slip_2 (m)
# Column #3 = Slip_3 (m)
# Column #4 = Slip_rate_2 (log10 m/s)
# Column #5 = Slip_rate_3 (log10 m/s)
# Column #6 = Shear_stress_2 (MPa)
# Column #7 = Shear_stress_3 (MPa)
# Column #8 = State (log10 s)
# The line below lists the names of the data fields
t slip_2 slip_3 slip_rate_2 slip_rate_3 shear_stress_2 shear_stress_3 state
# Here is the time-series data.
3.783575699985E+01 3.3514e-08 2.199539231782E-012 -8.94703 -11.9781 -3.228464555054E+001 3.005893135298E-002 7.602060040826E+000
3.801141082735E+01 3.37136e-08 2.389468918045E-012 -8.94178 -11.9544 -3.228857795157E+001 3.136629950708E-002 7.602060040566E+000
3.818522646049E+01 3.39136e-08 2.587938104013E-012 -8.93645 -11.9301 -3.229256209699E+001 3.276668986703E-002 7.602060040282E+000
3.835013183559E+01 3.41056e-08 2.787269933256E-012 -8.93127 -11.9054 -3.229643510763E+001 3.427919080112E-002 7.602060039987E+000
3.849486538084E+01 3.42761e-08 2.971588394980E-012 -8.92664 -11.8849 -3.229989920084E+001 3.555496293013E-002 7.602060039708E+000
3.864443022164E+01 3.44542e-08 3.171108197087E-012 -8.92175 -11.8648 -3.230356160241E+001 3.682720372856E-002 7.602060039399E+000
3.879418239488E+01 3.46345e-08 3.380473422167E-012 -8.91671 -11.844 -3.230732969236E+001 3.819743576994E-002 7.602060039066E+000
3.895975799500E+01 3.48364e-08 3.624217100985E-012 -8.91099 -11.8205 -3.231160355534E+001 3.979779041057E-002 7.602060038672E+000
3.906720449474E+01 3.49689e-08 3.789393089355E-012 -8.90721 -11.8061 -3.231443373274E+001 4.078823023804E-002 7.602060038400E+000
3.920194483137E+01 3.51367e-08 4.004432335058E-012 -8.90236 -11.7879 -3.231806351509E+001 4.206177918767E-002 7.602060038042E+000
3.936255696944E+01 3.53391e-08 4.272986399804E-012 -8.89639 -11.7655 -3.232252583425E+001 4.369612531413E-002 7.602060037587E+000
3.954485272949E+01 3.55724e-08 4.595453920614E-012 -8.88941 -11.7394 -3.232775133551E+001 4.566149783825E-002 7.602060037034E+000
3.971880455340E+01 3.57986e-08 4.921233728477E-012 -8.88252 -11.7156 -3.233290550101E+001 4.748683039853E-002 7.602060036467E+000
3.991183679535E+01 3.60539e-08 5.304773358094E-012 -8.87455 -11.6881 -3.233886170724E+001 4.968480765240E-002 7.602060035790E+000
4.006791348036E+01 3.62639e-08 5.633228591843E-012 -8.86787 -11.6659 -3.234386106578E+001 5.149121654148E-002 7.602060035205E+000
4.023247839869E+01 3.64888e-08 5.997771710037E-012 -8.86058 -11.6433 -3.234930975298E+001 5.335286291952E-002 7.602060034550E+000
4.039217824289E+01 3.67108e-08 6.370702289085E-012 -8.85324 -11.6199 -3.235479895197E+001 5.537212781862E-002 7.602060033873E+000
4.056417223730E+01 3.69542e-08 6.796066442842E-012 -8.84503 -11.5938 -3.236094062685E+001 5.771468454418E-002 7.602060033098E+000
4.073778890253E+01 3.72048e-08 7.251586257567E-012 -8.83641 -11.5687 -3.236739020607E+001 5.995355763203E-002 7.602060032263E+000
4.089163400950E+01 3.7431e-08 7.677936218562E-012 -8.82845 -11.5457 -3.237333987400E+001 6.207451387833E-002 7.602060031476E+000
4.106676967918E+01 3.76938e-08 8.192446511870E-012 -8.81902 -11.5184 -3.238039402859E+001 6.469576735526E-002 7.602060030525E+000
4.123393282016E+01 3.79502e-08 8.714359425652E-012 -8.80963 -11.493 -3.238741187351E+001 6.714598520823E-002 7.602060029556E+000
4.139250958170E+01 3.81986e-08 9.238429555991E-012 -8.80035 -11.4685 -3.239435663636E+001 6.955057818626E-002 7.602060028581E+000
4.155476623099E+01 3.84585e-08 9.807220035632E-012 -8.79043 -11.442 -3.240177424066E+001 7.228411369781E-002 7.602060027521E+000
4.173278812844E+01 3.87507e-08 1.047282593320E-011 -8.77907 -11.4128 -3.241026929322E+001 7.531839705382E-002 7.602060026281E+000
4.188972089843E+01 3.90149e-08 1.109777262982E-011 -8.76859 -11.3868 -3.241809958616E+001 7.808233961697E-002 7.602060025117E+000
4.204674371141E+01 3.92858e-08 1.176267685996E-011 -8.75763 -11.3598 -3.242629932194E+001 8.104892010698E-002 7.602060023880E+000
4.220283143035E+01 3.95621e-08 1.246558963135E-011 -8.74625 -11.3333 -3.243480762892E+001 8.394583253973E-002 7.602060022575E+000
4.237708799751E+01 3.98794e-08 1.330325987598E-011 -8.73296 -11.3028 -3.244474261314E+001 8.736336180350E-002 7.602060021021E+000
4.254496267924E+01 4.01947e-08 1.417000307906E-011 -8.71948 -11.2715 -3.245481710162E+001 9.104420275209E-002 7.602060019421E+000
4.273918554358E+01 4.05723e-08 1.525339529106E-011 -8.70306 -11.2358 -3.246709622172E+001 9.520553560772E-002 7.602060017430E+000
4.290982465357E+01 4.09163e-08 1.628255367681E-011 -8.68782 -11.2031 -3.247848525717E+001 9.915980483551E-002 7.602060015547E+000
4.308307393953E+01 4.12785e-08 1.741275312393E-011 -8.6715 -11.1683 -3.249068686426E+001 1.035093574605E-001 7.602060013496E+000
4.323694337080E+01 4.16121e-08 1.849466249557E-011 -8.65629 -11.1378 -3.250206105155E+001 1.072551758002E-001 7.602060011544E+000
4.339518232871E+01 4.19679e-08 1.969102690290E-011 -8.63983 -11.105 -3.251436324283E+001 1.113974280854E-001 7.602060009399E+000
4.356389709269E+01 4.23629e-08 2.107301842318E-011 -8.62131 -11.0684 -3.252820696417E+001 1.161816861654E-001 7.602060006943E+000
4.374225716098E+01 4.27996e-08 2.266682814200E-011 -8.60066 -11.0292 -3.254363972680E+001 1.213211202466E-001 7.602060004137E+000
4.390376752489E+01 4.3214e-08 2.424362164181E-011 -8.58084 -10.9915 -3.255845428281E+001 1.264726839927E-001 7.602060001392E+000
4.405478400918E+01 4.36195e-08 2.584829145638E-011 -8.56127 -10.9561 -3.257307947082E+001 1.312161100796E-001 7.602059998630E+000
4.421787907219E+01 4.40789e-08 2.773544587412E-011 -8.53903 -10.917 -3.258970454567E+001 1.364787277391E-001 7.602059995412E+000
4.438382460325E+01 4.45719e-08 2.984611418011E-011 -8.515 -10.8741 -3.260765989965E+001 1.426460310721E-001 7.602059991860E+000
4.455205984387E+01 4.51014e-08 3.221263107102E-011 -8.48914 -10.8301 -3.262698020199E+001 1.488205773848E-001 7.602059987939E+000
4.470008830896E+01 4.55947e-08 3.450402208887E-011 -8.46508 -10.7901 -3.264496279945E+001 1.544594175548E-001 7.602059984189E+000
4.486797603168E+01 4.61895e-08 3.738271195794E-011 -8.43606 -10.7418 -3.266664335619E+001 1.615631584024E-001 7.602059979554E+000
4.502704974179E+01 4.67922e-08 4.042834799205E-011 -8.40682 -10.6942 -3.268849225372E+001 1.686454215738E-001 7.602059974737E+000
4.519377023447E+01 4.74704e-08 4.400246843226E-011 -8.37427 -10.6438 -3.271281121719E+001 1.758705246001E-001 7.602059969184E+000
4.536570135617E+01 4.82274e-08 4.816983481201E-011 -8.33809 -10.5868 -3.273984336811E+001 1.846693209593E-001 7.602059962832E+000
4.550624310768E+01 4.88962e-08 5.201095179343E-011 -8.30685 -10.5407 -3.276317840063E+001 1.912341257889E-001 7.602059957096E+000
4.567009513167E+01 4.97415e-08 5.705966914339E-011 -8.26781 -10.4808 -3.279233705278E+001 2.007932051052E-001 7.602059949697E+000
4.582332696776E+01 5.06064e-08 6.247480141436E-011 -8.22884 -10.4241 -3.282145047353E+001 2.093437701987E-001 7.602059941970E+000
4.598468691707E+01 5.16085e-08 6.899807272022E-011 -8.18475 -10.361 -3.285438149028E+001 2.189437073775E-001 7.602059932842E+000
4.615087669083E+01 5.27572e-08 7.685469015894E-011 -8.13596 -10.2918 -3.289082220670E+001 2.297599355828E-001 7.602059922175E+000
4.630640022819E+01 5.39605e-08 8.541934230094E-011 -8.08669 -10.2256 -3.292762734773E+001 2.391361743846E-001 7.602059910797E+000
4.645928602338E+01 5.52898e-08 9.533506499417E-011 -8.0347 -10.1506 -3.296643695268E+001 2.524558832515E-001 7.602059898025E+000
4.659735744331E+01 5.66407e-08 1.059023886449E-010 -7.98417 -10.0831 -3.300417136195E+001 2.628222534986E-001 7.602059884856E+000
4.674585615463E+01 5.82882e-08 1.192835839032E-010 -7.92551 -10.0069 -3.304798133558E+001 2.739796712301E-001 7.602059868580E+000
4.689841602407E+01 6.02396e-08 1.358576503030E-010 -7.86066 -9.92215 -3.309639920590E+001 2.872735686604E-001 7.602059849049E+000
