Benchmark: bp4-qd (Strike-Slip Fault in a 3D Wholespace)
 
User: barbot.6 (Motorcycle, SBEM, dx=500m, W=120, L=120)
 
File: fltst_strk+000dp+120 (x2 = +0.00, x3 = +12.0 km)
            

# problem=Benchmark problem (BP4-QD)
# author=Sylvain Barbot
# date=Tue Mar 30 22:47:12 PDT 2021
# code=motorcycle-3d-ratestate
# code_version=beta
# element_size=500 m
# minimum_time_step=0.001
# maximum_time_step=12642527.3214
# num_time_steps=2932
# location=on fault, km depth
# Column #1 = Time (s)
# Column #2 = Slip_2 (m)
# Column #3 = Slip_3 (m)
# Column #4 = Slip_rate_2 (log10 m/s)
# Column #5 = Slip_rate_3 (log10 m/s)
# Column #6 = Shear_stress_2 (MPa)
# Column #7 = Shear_stress_3 (MPa)
# Column #8 = State (log10 s)
# The line below lists the names of the data fields
t slip_2 slip_3 slip_rate_2 slip_rate_3 shear_stress_2 shear_stress_3 state
# Here is the time-series data.
0.000000000000E+00 0 0.000000000000E+000 -9.06016 -16.1185 -3.220000076294E+001 -2.815013582818E-006 7.602059993903E+000
4.730784291480E+00 4.12073e-09 -1.009236804572E-015 -9.05975 -15.3698 -3.220030520431E+001 -1.576781639516E-005 7.602060000527E+000
2.176648428479E+01 1.89976e-08 -3.541355924505E-014 -9.05769 -14.3593 -3.220184843886E+001 -1.608087623530E-004 7.602060023966E+000
3.079169488441E+01 2.69224e-08 -1.002021579620E-013 -9.05438 -13.9163 -3.220432716700E+001 -4.425319010861E-004 7.602060035914E+000
3.287664990357E+01 2.87693e-08 -1.341695399756E-013 -9.04937 -13.6162 -3.220807637124E+001 -8.733276358794E-004 7.602060038498E+000
3.354150115693E+01 2.9367e-08 -1.553605922088E-013 -9.04163 -13.3625 -3.221387001026E+001 -1.538876019184E-003 7.602060039227E+000
3.375324906029E+01 2.95605e-08 -1.659058735393E-013 -9.03627 -13.2426 -3.221788287279E+001 -2.003435818776E-003 7.602060039425E+000
