t;slip_2;slip_3;slip_rate_2;slip_rate_3;shear_stress_2;shear_stress_3;state
0.00000000000000E+00;0.0000000E+00;0.0000000E+00;-0.9000000E+01;-0.2000000E+02;0.3224502E+02;0.0000000E+00;0.7602060E+01
0.10000000000000E+01;0.1000334E-08;0.0000000E+00;-0.8999855E+01;-0.2000000E+02;0.3224513E+02;0.0000000E+00;0.7602060E+01
0.25000000000000E+01;0.2501605E-08;0.0000000E+00;-0.8999632E+01;-0.2000000E+02;0.3224530E+02;0.0000000E+00;0.7602060E+01
0.47500000000000E+01;0.4755333E-08;0.0000000E+00;-0.8999281E+01;-0.2000000E+02;0.3224556E+02;0.0000000E+00;0.7602060E+01
0.81250000000000E+01;0.8140367E-08;0.0000000E+00;-0.8998711E+01;-0.2000000E+02;0.3224599E+02;0.0000000E+00;0.7602060E+01
0.13187500000000E+02;0.1322959E-07;0.0000000E+00;-0.8997714E+01;-0.2000000E+02;0.3224673E+02;0.0000000E+00;0.7602060E+01
0.20781250000000E+02;0.2090040E-07;0.0000000E+00;-0.8995615E+01;-0.2000000E+02;0.3224830E+02;0.0000000E+00;0.7602060E+01
0.23525674286573E+02;0.2368005E-07;0.0000000E+00;-0.8994461E+01;-0.2000000E+02;0.3224917E+02;0.0000000E+00;0.7602060E+01
0.24884164308427E+02;0.2505834E-07;0.0000000E+00;-0.8993716E+01;-0.2000000E+02;0.3224972E+02;0.0000000E+00;0.7602060E+01
0.26921899341207E+02;0.2713324E-07;0.0000000E+00;-0.8992151E+01;-0.2000000E+02;0.3225089E+02;0.0000000E+00;0.7602060E+01
0.27677416114828E+02;0.2790403E-07;0.0000000E+00;-0.8991303E+01;-0.2000000E+02;0.3225153E+02;0.0000000E+00;0.7602060E+01
0.28810691275259E+02;0.2906540E-07;0.0000000E+00;-0.8989368E+01;-0.2000000E+02;0.3225298E+02;0.0000000E+00;0.7602060E+01
0.29157898906924E+02;0.2942196E-07;0.0000000E+00;-0.8988453E+01;-0.2000000E+02;0.3225366E+02;0.0000000E+00;0.7602060E+01
0.29678710354421E+02;0.2995926E-07;0.0000000E+00;-0.8986462E+01;-0.2000000E+02;0.3225515E+02;0.0000000E+00;0.7602060E+01
0.29887834724184E+02;0.3017558E-07;0.0000000E+00;-0.8985305E+01;-0.2000000E+02;0.3225602E+02;0.0000000E+00;0.7602060E+01
0.30201521278830E+02;0.3050188E-07;0.0000000E+00;-0.8982884E+01;-0.2000000E+02;0.3225783E+02;0.0000000E+00;0.7602060E+01
0.30349090124605E+02;0.3065594E-07;0.0000000E+00;-0.8981312E+01;-0.2000000E+02;0.3225901E+02;0.0000000E+00;0.7602060E+01
0.30570443393268E+02;0.3088872E-07;0.0000000E+00;-0.8978128E+01;-0.2000000E+02;0.3226139E+02;0.0000000E+00;0.7602060E+01
0.30678176452555E+02;0.3100256E-07;0.0000000E+00;-0.8976075E+01;-0.2000000E+02;0.3226293E+02;0.0000000E+00;0.7602060E+01
0.30731504316902E+02;0.3105906E-07;0.0000000E+00;-0.8974897E+01;-0.2000000E+02;0.3226381E+02;0.0000000E+00;0.7602060E+01
0.30811496113422E+02;0.3114420E-07;0.0000000E+00;-0.8972889E+01;-0.2000000E+02;0.3226531E+02;0.0000000E+00;0.7602060E+01
0.30851092052699E+02;0.3118646E-07;0.0000000E+00;-0.8971774E+01;-0.2000000E+02;0.3226614E+02;0.0000000E+00;0.7602060E+01
0.30910485961616E+02;0.3125011E-07;0.0000000E+00;-0.8969926E+01;-0.2000000E+02;0.3226753E+02;0.0000000E+00;0.7602060E+01
0.30994396172899E+02;0.3134066E-07;0.0000000E+00;-0.8966908E+01;-0.2000000E+02;0.3226979E+02;0.0000000E+00;0.7602060E+01
0.31019840965636E+02;0.3136819E-07;0.0000000E+00;-0.8965887E+01;-0.2000000E+02;0.3227055E+02;0.0000000E+00;0.7602060E+01
0.31058008154741E+02;0.3140963E-07;0.0000000E+00;-0.8964257E+01;-0.2000000E+02;0.3227177E+02;0.0000000E+00;0.7602060E+01
0.31096723952581E+02;0.3145184E-07;0.0000000E+00;-0.8962478E+01;-0.2000000E+02;0.3227310E+02;0.0000000E+00;0.7602060E+01
0.31133874949556E+02;0.3149251E-07;0.0000000E+00;-0.8960648E+01;-0.2000000E+02;0.3227447E+02;0.0000000E+00;0.7602060E+01
0.31170509273571E+02;0.3153280E-07;0.0000000E+00;-0.8958724E+01;-0.2000000E+02;0.3227591E+02;0.0000000E+00;0.7602060E+01
0.31206590444970E+02;0.3157266E-07;0.0000000E+00;-0.8956710E+01;-0.2000000E+02;0.3227742E+02;0.0000000E+00;0.7602060E+01
0.31242140677907E+02;0.3161213E-07;0.0000000E+00;-0.8954611E+01;-0.2000000E+02;0.3227899E+02;0.0000000E+00;0.7602060E+01
0.31277364729289E+02;0.3165143E-07;0.0000000E+00;-0.8952416E+01;-0.2000000E+02;0.3228063E+02;0.0000000E+00;0.7602060E+01
0.31311896695715E+02;0.3169016E-07;0.0000000E+00;-0.8950153E+01;-0.2000000E+02;0.3228232E+02;0.0000000E+00;0.7602060E+01
0.31346272189807E+02;0.3172893E-07;0.0000000E+00;-0.8947790E+01;-0.2000000E+02;0.3228409E+02;0.0000000E+00;0.7602060E+01
0.31380158176251E+02;0.3176736E-07;0.0000000E+00;-0.8945352E+01;-0.2000000E+02;0.3228592E+02;0.0000000E+00;0.7602060E+01
0.31413554980683E+02;0.3180546E-07;0.0000000E+00;-0.8942844E+01;-0.2000000E+02;0.3228779E+02;0.0000000E+00;0.7602060E+01
0.31446863832404E+02;0.3184368E-07;0.0000000E+00;-0.8940238E+01;-0.2000000E+02;0.3228974E+02;0.0000000E+00;0.7602060E+01
0.31479692284112E+02;0.3188158E-07;0.0000000E+00;-0.8937567E+01;-0.2000000E+02;0.3229174E+02;0.0000000E+00;0.7602060E+01
0.31512247398947E+02;0.3191941E-07;0.0000000E+00;-0.8934818E+01;-0.2000000E+02;0.3229380E+02;0.0000000E+00;0.7602060E+01
0.31544911765640E+02;0.3195761E-07;0.0000000E+00;-0.8931961E+01;-0.2000000E+02;0.3229594E+02;0.0000000E+00;0.7602060E+01
0.31577201168988E+02;0.3199563E-07;0.0000000E+00;-0.8929040E+01;-0.2000000E+02;0.3229812E+02;0.0000000E+00;0.7602060E+01
0.31608773684580E+02;0.3203306E-07;0.0000000E+00;-0.8926093E+01;-0.2000000E+02;0.3230033E+02;0.0000000E+00;0.7602060E+01
0.31640170675599E+02;0.3207055E-07;0.0000000E+00;-0.8923075E+01;-0.2000000E+02;0.3230259E+02;0.0000000E+00;0.7602060E+01
0.31671629219409E+02;0.3210837E-07;0.0000000E+00;-0.8919965E+01;-0.2000000E+02;0.3230491E+02;0.0000000E+00;0.7602060E+01
0.31702735103789E+02;0.3214604E-07;0.0000000E+00;-0.8916810E+01;-0.2000000E+02;0.3230728E+02;0.0000000E+00;0.7602060E+01
0.31733384965384E+02;0.3218344E-07;0.0000000E+00;-0.8913625E+01;-0.2000000E+02;0.3230966E+02;0.0000000E+00;0.7602060E+01
0.31763964092306E+02;0.3222103E-07;0.0000000E+00;-0.8910375E+01;-0.2000000E+02;0.3231209E+02;0.0000000E+00;0.7602060E+01
