t;max_slip_rate;moment_rate
0.34180806800844E+02;-0.7590394E-01;0.3791575E+19
0.34231297746783E+02;-0.7919656E-01;0.3779858E+19
0.34283322037418E+02;-0.8353967E-01;0.3766933E+19
0.34335389853293E+02;-0.8762992E-01;0.3753140E+19
0.34389631325338E+02;-0.8350173E-01;0.3738426E+19
0.34439820192301E+02;-0.8175247E-01;0.3725642E+19
0.34490138063291E+02;-0.8216265E-01;0.3714437E+19
0.34541622786093E+02;-0.8479491E-01;0.3704187E+19
0.34593714392102E+02;-0.8839813E-01;0.3693871E+19
0.34646645657441E+02;-0.9202972E-01;0.3682664E+19
0.34701126688318E+02;-0.9030574E-01;0.3670195E+19
0.34753438979998E+02;-0.8778140E-01;0.3657899E+19
0.34804530593011E+02;-0.8769427E-01;0.3646586E+19
0.34856407974305E+02;-0.8971910E-01;0.3636457E+19
0.34909050656729E+02;-0.9269243E-01;0.3627562E+19
0.34963197656867E+02;-0.9580976E-01;0.3619626E+19
0.35017637263618E+02;-0.9612418E-01;0.3612319E+19
0.35072204947907E+02;-0.9290384E-01;0.3604956E+19
0.35123997658037E+02;-0.9241440E-01;0.3597759E+19
0.35176522499606E+02;-0.9390538E-01;0.3590348E+19
0.35229888994501E+02;-0.9630761E-01;0.3582642E+19
0.35284885596952E+02;-0.9884426E-01;0.3574698E+19
0.35339569165711E+02;-0.1007952E+00;0.3567093E+19
0.35395715755002E+02;-0.9706869E-01;0.3560080E+19
0.35448286602010E+02;-0.9629063E-01;0.3554942E+19
0.35501476056685E+02;-0.9731061E-01;0.3551306E+19
0.35555493298206E+02;-0.9918752E-01;0.3548488E+19
0.35610644139863E+02;-0.1011144E+00;0.3545742E+19
0.35665607995555E+02;-0.1031605E+00;0.3542610E+19
0.35722216150566E+02;-0.1003467E+00;0.3538862E+19
0.35775484093052E+02;-0.9934233E-01;0.3535452E+19
0.35829224321369E+02;-0.9991709E-01;0.3532942E+19
0.35883712855098E+02;-0.1012982E+00;0.3531941E+19
0.35939059994854E+02;-0.1026487E+00;0.3532623E+19
0.35994226498693E+02;-0.1040221E+00;0.3534397E+19
0.36050939226953E+02;-0.1028012E+00;0.3536478E+19
0.36104766608854E+02;-0.1014620E+00;0.3538368E+19
0.36158897237233E+02;-0.1017686E+00;0.3540324E+19
0.36213651532373E+02;-0.1026987E+00;0.3542612E+19
0.36269181298033E+02;-0.1035157E+00;0.3545336E+19
0.36324454431912E+02;-0.1042403E+00;0.3548256E+19
0.36380974629406E+02;-0.1045069E+00;0.3551529E+19
0.36435207473206E+02;-0.1027070E+00;0.3555782E+19
0.36489563342547E+02;-0.1025419E+00;0.3561925E+19
0.36544397535987E+02;-0.1030371E+00;0.3569675E+19
0.36600068706004E+02;-0.1037830E+00;0.3577820E+19
0.36655362750120E+02;-0.1039049E+00;0.3585051E+19
0.36711496282920E+02;-0.1047792E+00;0.3591390E+19
0.36765993932894E+02;-0.1032986E+00;0.3597447E+19
0.36820427399937E+02;-0.1026912E+00;0.3604452E+19
0.36875191492600E+02;-0.1026894E+00;0.3612978E+19
0.36930953475968E+02;-0.1032192E+00;0.3622885E+19
0.36986203775062E+02;-0.1030878E+00;0.3633328E+19
0.37041850847656E+02;-0.1032459E+00;0.3644170E+19
0.37096493885401E+02;-0.1033054E+00;0.3655142E+19
0.37150879939293E+02;-0.1022866E+00;0.3666231E+19
0.37205459420348E+02;-0.1018334E+00;0.3677141E+19
0.37260961823823E+02;-0.1018156E+00;0.3687877E+19
0.37316121822899E+02;-0.1018456E+00;0.3698432E+19
0.37371258355422E+02;-0.1013524E+00;0.3709286E+19
0.37425960301840E+02;-0.1023961E+00;0.3721153E+19
0.37480199975498E+02;-0.1011830E+00;0.3734462E+19
0.37534512857769E+02;-0.1005323E+00;0.3748941E+19
0.37589455009205E+02;-0.1000323E+00;0.3763805E+19
0.37644494408676E+02;-0.1002285E+00;0.3778031E+19
0.37699136289130E+02;-0.9915917E-01;0.3791156E+19
0.37753843001603E+02;-0.9970079E-01;0.3803689E+19
0.37807857753181E+02;-0.9853450E-01;0.3816393E+19
0.37861842261547E+02;-0.9884071E-01;0.3830316E+19
0.37916209411083E+02;-0.9791701E-01;0.3845738E+19
0.37971106384493E+02;-0.9777807E-01;0.3862150E+19
0.38025284602985E+02;-0.9671149E-01;0.3878523E+19
0.38079963332623E+02;-0.9650873E-01;0.3895140E+19
0.38133686446412E+02;-0.9574219E-01;0.3911547E+19
0.38187292106593E+02;-0.9589082E-01;0.3927846E+19
0.38241080936170E+02;-0.9463633E-01;0.3944083E+19
0.38295821492257E+02;-0.9485874E-01;0.3960216E+19
0.38349576460590E+02;-0.9371701E-01;0.3975838E+19
0.38403908814949E+02;-0.9318527E-01;0.3992597E+19
0.38457274211785E+02;-0.9283831E-01;0.4010838E+19
0.38510460106597E+02;-0.9204030E-01;0.4030470E+19
0.38563679060219E+02;-0.9134999E-01;0.4050571E+19
0.38617890087014E+02;-0.9154092E-01;0.4070366E+19
0.38671256260070E+02;-0.8980488E-01;0.4088671E+19
0.38724750137536E+02;-0.8977741E-01;0.4106288E+19
0.38777709984166E+02;-0.8910881E-01;0.4124022E+19
0.38830437825978E+02;-0.8818002E-01;0.4142775E+19
0.38883100049636E+02;-0.8807232E-01;0.4162722E+19
0.38936368571248E+02;-0.8711649E-01;0.4183797E+19
0.38989063254260E+02;-0.8602695E-01;0.4205171E+19
0.39041660006279E+02;-0.8630722E-01;0.4226614E+19
0.39094221435348E+02;-0.8452422E-01;0.4247944E+19
0.39146453813730E+02;-0.8420358E-01;0.4269068E+19
0.39198560854956E+02;-0.8476914E-01;0.4290066E+19
0.39251029585790E+02;-0.8234814E-01;0.4310936E+19
0.39303278817239E+02;-0.8234351E-01;0.4331496E+19
0.39355128798364E+02;-0.8210899E-01;0.4352370E+19
0.39406987231134E+02;-0.8017293E-01;0.4374557E+19
0.39458598953896E+02;-0.8006998E-01;0.4398136E+19
0.39510138762785E+02;-0.7939209E-01;0.4422713E+19
0.39561561537631E+02;-0.7786489E-01;0.4447191E+19
0.39613164887752E+02;-0.7731700E-01;0.4470578E+19
0.39664341613065E+02;-0.7739361E-01;0.4492537E+19
0.39715342060162E+02;-0.7549919E-01;0.4514278E+19
0.39766237754292E+02;-0.7547809E-01;0.4536809E+19
0.39817050235901E+02;-0.7451040E-01;0.4560542E+19
0.39867765252081E+02;-0.7333990E-01;0.4585476E+19
0.39918352181516E+02;-0.7311578E-01;0.4611014E+19
0.39968872583061E+02;-0.7209310E-01;0.4636511E+19
0.40019123097599E+02;-0.7112912E-01;0.4661719E+19
0.40069421638123E+02;-0.7007891E-01;0.4686829E+19
0.40119853559214E+02;-0.6980386E-01;0.4711905E+19
0.40169821712062E+02;-0.6840699E-01;0.4736657E+19
0.40219550042635E+02;-0.6824744E-01;0.4761227E+19
0.40269436776505E+02;-0.6695729E-01;0.4786139E+19
0.40319341529353E+02;-0.6623114E-01;0.4811748E+19
0.40368639507791E+02;-0.6560600E-01;0.4838123E+19
0.40417950208633E+02;-0.6479500E-01;0.4865741E+19
