Benchmark: bp4-qd (Strike-Slip Fault in a 3D Wholespace)
 
User: barbot.6 (Motorcycle, SBEM, dx=500m, W=120, L=120)
 
File: fltst_strk-360dp+000 (x2 = -36.0, x3 = +0.00 km)
            

# problem=Benchmark problem (BP4-QD)
# author=Sylvain Barbot
# date=Tue Mar 30 22:47:11 PDT 2021
# code=motorcycle-3d-ratestate
# code_version=beta
# element_size=500 m
# minimum_time_step=0.001
# maximum_time_step=12642527.3214
# num_time_steps=2932
# location=on fault, km depth
# Column #1 = Time (s)
# Column #2 = Slip_2 (m)
# Column #3 = Slip_3 (m)
# Column #4 = Slip_rate_2 (log10 m/s)
# Column #5 = Slip_rate_3 (log10 m/s)
# Column #6 = Shear_stress_2 (MPa)
# Column #7 = Shear_stress_3 (MPa)
# Column #8 = State (log10 s)
# The line below lists the names of the data fields
t slip_2 slip_3 slip_rate_2 slip_rate_3 shear_stress_2 shear_stress_3 state
# Here is the time-series data.
0.000000000000E+00 0 0.000000000000E+000 -8.98449 -16.0429 -2.589999961853E+001 -2.264249968747E-006 7.602059993903E+000
4.730784291480E+00 4.90462e-09 -3.000967613802E-014 -8.98416 -13.9048 -2.590092913847E+001 -3.109328563294E-004 7.602059992016E+000
2.176648428479E+01 2.26032e-08 -6.658766483657E-013 -8.98248 -13.1669 -2.590578056137E+001 -1.694058682540E-003 7.602059984819E+000
3.079169488441E+01 3.20213e-08 -1.565948273927E-012 -8.97982 -12.813 -2.591341659148E+001 -3.804839264043E-003 7.602059980553E+000
3.287664990357E+01 3.42122e-08 -1.980460835309E-012 -8.97593 -12.5461 -2.592463651445E+001 -6.975133578504E-003 7.602059979403E+000
3.354150115693E+01 3.49189e-08 -2.224812409109E-012 -8.96991 -12.3078 -2.594195694928E+001 -1.191553067975E-002 7.602059978949E+000
3.375324906029E+01 3.51468e-08 -2.343607334321E-012 -8.96571 -12.1935 -2.595403652522E+001 -1.535962090539E-002 7.602059978773E+000
