Benchmark: bp4-qd (Strike-Slip Fault in a 3D Wholespace)
 
User: barbot.6 (Motorcycle, SBEM, dx=500m, W=120, L=120)
 
File: fltst_strk-165dp+000 (x2 = -16.5, x3 = +0.00 km)
            

# problem=Benchmark problem (BP4-QD)
# author=Sylvain Barbot
# date=Tue Mar 30 22:47:12 PDT 2021
# code=motorcycle-3d-ratestate
# code_version=beta
# element_size=500 m
# minimum_time_step=0.001
# maximum_time_step=12642527.3214
# num_time_steps=2932
# location=on fault, km depth
# Column #1 = Time (s)
# Column #2 = Slip_2 (m)
# Column #3 = Slip_3 (m)
# Column #4 = Slip_rate_2 (log10 m/s)
# Column #5 = Slip_rate_3 (log10 m/s)
# Column #6 = Shear_stress_2 (MPa)
# Column #7 = Shear_stress_3 (MPa)
# Column #8 = State (log10 s)
# The line below lists the names of the data fields
t slip_2 slip_3 slip_rate_2 slip_rate_3 shear_stress_2 shear_stress_3 state
# Here is the time-series data.
3.783575699985E+01 0.762146 2.457907868857E-002 -0.179291 -2.11475 -2.661448665797E+001 3.087864646066E-001 -5.691283140623E-001
3.801141082735E+01 0.871903 2.565105765744E-002 -0.234821 -2.32697 -2.577507189094E+001 2.084751193286E-001 -1.102840023641E+000
3.818522646049E+01 0.967854 2.630971898743E-002 -0.277146 -2.50569 -2.570357498720E+001 1.518635162129E-001 -1.129708114679E+000
3.835013183559E+01 1.05205 2.679325628620E-002 -0.306229 -2.53834 -2.571935793576E+001 1.507131183091E-001 -1.104625897703E+000
3.849486538084E+01 1.12166 2.722233752423E-002 -0.329395 -2.51997 -2.573638357095E+001 1.659480796115E-001 -1.081605682499E+000
3.864443022164E+01 1.18997 2.766299361759E-002 -0.350953 -2.5568 -2.575344626229E+001 1.603209140524E-001 -1.059450111306E+000
3.879418239488E+01 1.25526 2.803676283786E-002 -0.369463 -2.65029 -2.576929479010E+001 1.349827104357E-001 -1.039702089100E+000
3.895975799500E+01 1.32459 2.838020909644E-002 -0.38651 -2.7062 -2.578405306052E+001 1.234990026262E-001 -1.021355766557E+000
3.906720449474E+01 1.36818 2.858752160208E-002 -0.397166 -2.72222 -2.579226972853E+001 1.220221004649E-001 -1.010542947664E+000
3.920194483137E+01 1.42135 2.883713747708E-002 -0.410424 -2.74368 -2.580207815371E+001 1.197853862297E-001 -9.973670604194E-001
