t;slip_2;slip_3;slip_rate_2;slip_rate_3;shear_stress_2;shear_stress_3;state
0.00000000000000E+00;0.0000000E+00;0.0000000E+00;-9.0000000E+00;-2.0000000E+01;3.2245020E+01;3.2245020E-10;7.6020600E+00
4.81139337952271E-02;4.8113977E-11;-8.9867262E-20;-8.9999992E+00;-1.7428637E+01;3.2245021E+01;-1.2017794E-07;7.6020600E+00
1.44341801385681E-01;1.4434219E-10;-8.0636006E-19;-8.9999976E+00;-1.6954969E+01;3.2245022E+01;-3.5767755E-07;7.6020600E+00
3.36797536566590E-01;3.3679967E-10;-4.3452967E-18;-8.9999945E+00;-1.6594939E+01;3.2245025E+01;-8.1944268E-07;7.6020600E+00
7.21709006928406E-01;7.2171890E-10;-1.9541367E-17;-8.9999880E+00;-1.6279129E+01;3.2245029E+01;-1.6955944E-06;7.6020600E+00
1.49153194765204E+00;1.4915748E-09;-8.0283498E-17;-8.9999745E+00;-1.5990624E+01;3.2245040E+01;-3.2946793E-06;7.6020600E+00
3.03117782909931E+00;3.0313598E-09;-3.1014602E-16;-8.9999458E+00;-1.5724722E+01;3.2245061E+01;-6.0769674E-06;7.6020600E+00
6.11046959199384E+00;6.1112464E-09;-1.1378664E-15;-8.9998819E+00;-1.5476402E+01;3.2245109E+01;-1.0763255E-05;7.6020600E+00
8.99730561970747E+00;8.9990796E-09;-2.2801321E-15;-8.9998138E+00;-1.5343572E+01;3.2245160E+01;-1.4611898E-05;7.6020600E+00
1.14030023094688E+01;1.1405975E-08;-3.4844557E-15;-8.9997498E+00;-1.5261740E+01;3.2245208E+01;-1.7639043E-05;7.6020600E+00
1.34719014626636E+01;1.3476206E-08;-4.6990594E-15;-8.9996880E+00;-1.5202557E+01;3.2245254E+01;-2.0211439E-05;7.6020600E+00
1.52521170130870E+01;1.5257817E-08;-5.8769714E-15;-8.9996285E+00;-1.5156802E+01;3.2245298E+01;-2.2453960E-05;7.6020600E+00
