t;slip_2;slip_3;slip_rate_2;slip_rate_3;shear_stress_2;shear_stress_3;state
0.00000000000000E+00;0.0000000E+00;0.0000000E+00;-9.0000000E+00;-2.0000000E+01;2.5855347E+01;2.5855347E-10;7.6020600E+00
4.81139337952271E-02;4.8113969E-11;-5.7709419E-19;-8.9999994E+00;-1.6620212E+01;2.5855349E+01;-6.1992355E-07;7.6020600E+00
1.44341801385681E-01;1.4434212E-10;-5.1904394E-18;-8.9999981E+00;-1.6143737E+01;2.5855352E+01;-1.8569974E-06;7.6020600E+00
3.36797536566590E-01;3.3679925E-10;-2.8206052E-17;-8.9999956E+00;-1.5777161E+01;2.5855360E+01;-4.3190187E-06;7.6020600E+00
7.21709006928406E-01;7.2171688E-10;-1.2905029E-16;-8.9999905E+00;-1.5448654E+01;2.5855374E+01;-9.2021123E-06;7.6020600E+00
1.49153194765204E+00;1.4915657E-09;-5.4780315E-16;-8.9999802E+00;-1.5137100E+01;2.5855404E+01;-1.8855210E-05;7.6020600E+00
3.03117782909931E+00;3.0313188E-09;-2.2431436E-15;-8.9999590E+00;-1.4832696E+01;2.5855465E+01;-3.8002798E-05;7.6020600E+00
6.11046959199384E+00;6.1110550E-09;-9.0578712E-15;-8.9999137E+00;-1.4525636E+01;2.5855595E+01;-7.7060594E-05;7.6020600E+00
8.99730561970747E+00;8.9986127E-09;-1.9770952E-14;-8.9998669E+00;-1.4347256E+01;2.5855730E+01;-1.1618984E-04;7.6020600E+00
1.14030023094688E+01;1.1405161E-08;-3.2170332E-14;-8.9998236E+00;-1.4231392E+01;2.5855854E+01;-1.5170190E-04;7.6020600E+00
1.34719014626636E+01;1.3474994E-08;-4.5595281E-14;-8.9997824E+00;-1.4144819E+01;2.5855973E+01;-1.8515027E-04;7.6020600E+00
1.52521170130870E+01;1.5256178E-08;-5.9390572E-14;-8.9997432E+00;-1.4076335E+01;2.5856086E+01;-2.1675593E-04;7.6020600E+00
1.67436489607390E+01;1.6748652E-08;-7.2704788E-14;-8.9997069E+00;-1.4021665E+01;2.5856190E+01;-2.4581414E-04;7.6020600E+00
1.80427251732102E+01;1.8048655E-08;-8.5730873E-14;-8.9996722E+00;-1.3975225E+01;2.5856290E+01;-2.7353551E-04;7.6020600E+00
