t;max_slip_rate;moment_rate
3.01193225558122E+01;-2.4603626E-01;8.0467909E+17
3.01674364896075E+01;-2.1250744E-01;8.7949259E+17
3.02155504234027E+01;-1.7859563E-01;9.6297490E+17
3.02636643571979E+01;-1.4443041E-01;1.0561979E+18
3.03117782909932E+01;-1.1032177E-01;1.1603191E+18
3.03598922247884E+01;-7.7041487E-02;1.2764997E+18
3.04080061585836E+01;-4.6494754E-02;1.4056498E+18
3.04561200923788E+01;-2.2762872E-02;1.5477785E+18
3.05042340261741E+01;-1.0249357E-02;1.7009594E+18
3.05523479599693E+01;5.9311109E-04;1.8612464E+18
3.06004618937645E+01;9.4033377E-03;2.0246634E+18
3.06485758275598E+01;1.7931123E-02;2.1887348E+18
3.06966897613550E+01;2.7977359E-02;2.3521522E+18
3.07448036951502E+01;3.3724337E-02;2.5141422E+18
3.07929176289454E+01;4.2178058E-02;2.6741739E+18
3.08410315627407E+01;4.6337963E-02;2.8320973E+18
3.08891454965359E+01;5.4103009E-02;2.9882343E+18
3.09372594303311E+01;5.7714193E-02;3.1419252E+18
3.09853733641264E+01;6.1320678E-02;3.2921693E+18
3.10334872979216E+01;6.5996487E-02;3.4378408E+18
3.10816012317168E+01;6.8740788E-02;3.5765259E+18
3.11297151655120E+01;7.3437798E-02;3.7073677E+18
3.11778290993073E+01;7.7097617E-02;3.8295871E+18
3.12259430331025E+01;8.1026527E-02;3.9414902E+18
3.12740569668977E+01;8.3353543E-02;4.0458783E+18
3.13221709006930E+01;8.5892092E-02;4.1458013E+18
3.13702848344882E+01;8.7870618E-02;4.2382982E+18
3.14183987682834E+01;8.7414645E-02;4.3201580E+18
3.14665127020786E+01;8.8196361E-02;4.3928102E+18
3.15146266358739E+01;8.9214039E-02;4.4566029E+18
3.15627405696691E+01;8.6255372E-02;4.5105285E+18
3.16108545034643E+01;8.3688921E-02;4.5531565E+18
3.16589684372596E+01;8.0338227E-02;4.5858315E+18
3.17070823710548E+01;7.4721889E-02;4.6121975E+18
3.17551963048500E+01;7.1709452E-02;4.6330011E+18
3.18033102386452E+01;6.2738944E-02;4.6470467E+18
3.18514241724405E+01;5.9491312E-02;4.6524273E+18
3.18995381062357E+01;4.5746566E-02;4.6501229E+18
3.19476520400309E+01;4.2185368E-02;4.6436630E+18
3.19957659738262E+01;2.8635551E-02;4.6346017E+18
3.20438799076214E+01;2.0375002E-02;4.6230498E+18
3.20919938414166E+01;9.8867953E-03;4.6110446E+18
3.21401077752118E+01;-7.2063216E-04;4.5987528E+18
3.21882217090071E+01;-1.2221435E-02;4.5836740E+18
3.22363356428023E+01;-2.5713477E-02;4.5655201E+18
3.22844495765975E+01;-3.3356185E-02;4.5449872E+18
3.23325635103928E+01;-4.0215537E-02;4.5235613E+18
3.23806774441880E+01;-4.0756016E-02;4.5030633E+18
3.24287913779832E+01;-4.2937083E-02;4.4839862E+18
3.24769053117784E+01;-4.5896876E-02;4.4658738E+18
3.25250192455737E+01;-4.9466445E-02;4.4484720E+18
3.25731331793689E+01;-4.9550621E-02;4.4301531E+18
3.26212471131641E+01;-4.7985648E-02;4.4092831E+18
3.26693610469594E+01;-4.8018342E-02;4.3863951E+18
3.27174749807546E+01;-4.9459143E-02;4.3631286E+18
3.27655889145498E+01;-5.2834964E-02;4.3409961E+18
3.28137028483450E+01;-5.6761235E-02;4.3201827E+18
3.28618167821403E+01;-5.8363477E-02;4.2998315E+18
3.29099307159355E+01;-5.5707711E-02;4.2799554E+18
3.29580446497307E+01;-5.5170077E-02;4.2622022E+18
3.30061585835260E+01;-5.6107918E-02;4.2471923E+18
3.30542725173212E+01;-5.8837239E-02;4.2330933E+18
3.31023864511164E+01;-6.3219059E-02;4.2176159E+18
3.31505003849116E+01;-6.7282550E-02;4.1996178E+18
3.31986143187069E+01;-6.3384003E-02;4.1789187E+18
3.32467282525021E+01;-6.2035423E-02;4.1564702E+18
3.32948421862973E+01;-6.2471490E-02;4.1336955E+18
3.33429561200926E+01;-6.4420237E-02;4.1115676E+18
3.33910700538878E+01;-6.8230345E-02;4.0906352E+18
3.34391839876830E+01;-7.2415161E-02;4.0710292E+18
3.34872979214782E+01;-7.1243871E-02;4.0520717E+18
3.35354118552735E+01;-6.8868279E-02;4.0332369E+18
3.35835257890687E+01;-6.8647991E-02;4.0148285E+18
3.36316397228639E+01;-6.9960330E-02;3.9972864E+18
3.36797536566592E+01;-7.2911241E-02;3.9804323E+18
3.37278675904544E+01;-7.6917035E-02;3.9637968E+18
3.37759815242496E+01;-7.9323738E-02;3.9473568E+18
3.38240954580448E+01;-7.5666229E-02;3.9314414E+18
3.38722093918401E+01;-7.4520954E-02;3.9167730E+18
3.39203233256353E+01;-7.5168390E-02;3.9038142E+18
3.39684372594305E+01;-7.7220546E-02;3.8922160E+18
3.40165511932258E+01;-8.0531305E-02;3.8809804E+18
3.40646651270210E+01;-8.4025408E-02;3.8692354E+18
3.41127790608162E+01;-8.2598220E-02;3.8566368E+18
3.41608929946114E+01;-8.0237381E-02;3.8435478E+18
3.42090069284067E+01;-8.0041458E-02;3.8309916E+18
3.42571208622019E+01;-8.1278198E-02;3.8198263E+18
3.43052347959971E+01;-8.3740117E-02;3.8101195E+18
3.43533487297924E+01;-8.6582472E-02;3.8014889E+18
3.44014626635876E+01;-8.9644013E-02;3.7936537E+18
3.44495765973828E+01;-8.5924725E-02;3.7861730E+18
3.44976905311780E+01;-8.4599634E-02;3.7788305E+18
3.45458044649733E+01;-8.4941336E-02;3.7717512E+18
3.45939183987685E+01;-8.6595762E-02;3.7649363E+18
3.46420323325637E+01;-8.8944635E-02;3.7582872E+18
3.46901462663590E+01;-9.1471969E-02;3.7519197E+18
3.47382602001542E+01;-9.1834092E-02;3.7459678E+18
3.47863741339494E+01;-8.9073836E-02;3.7406965E+18
3.48344880677446E+01;-8.8302754E-02;3.7367704E+18
3.48826020015399E+01;-8.9078425E-02;3.7344437E+18
3.49307159353351E+01;-9.0658728E-02;3.7330177E+18
3.49788298691303E+01;-9.2435256E-02;3.7317098E+18
3.50269438029256E+01;-9.4282298E-02;3.7300622E+18
3.50750577367208E+01;-9.3700476E-02;3.7276778E+18
3.51231716705160E+01;-9.1509403E-02;3.7247674E+18
3.51712856043112E+01;-9.1298091E-02;3.7220915E+18
3.52193995381065E+01;-9.2107505E-02;3.7203398E+18
3.52675134719017E+01;-9.3349613E-02;3.7198789E+18
3.53156274056969E+01;-9.4914807E-02;3.7205907E+18
3.53637413394922E+01;-9.6365285E-02;3.7219300E+18
3.54118552732874E+01;-9.4857707E-02;3.7233691E+18
3.54599692070826E+01;-9.3400986E-02;3.7248631E+18
3.55080831408778E+01;-9.3401619E-02;3.7264333E+18
3.55561970746731E+01;-9.4142020E-02;3.7280390E+18
3.56043110084683E+01;-9.5154319E-02;3.7298173E+18
3.56524249422635E+01;-9.5935811E-02;3.7318784E+18
3.57005388760588E+01;-9.7059503E-02;3.7342583E+18
3.57486528098540E+01;-9.5592246E-02;3.7372073E+18
3.57967667436492E+01;-9.4634087E-02;3.7412826E+18
3.58448806774444E+01;-9.4671541E-02;3.7468499E+18
3.58929946112397E+01;-9.4976475E-02;3.7536218E+18
3.59411085450349E+01;-9.5530324E-02;3.7606781E+18
3.59892224788301E+01;-9.6618150E-02;3.7671469E+18
3.60373364126254E+01;-9.6726574E-02;3.7728498E+18
3.60854503464206E+01;-9.5971184E-02;3.7782407E+18
3.61335642802158E+01;-9.4964066E-02;3.7839986E+18
3.61816782140110E+01;-9.4784835E-02;3.7908320E+18
3.62297921478063E+01;-9.5104082E-02;3.7990804E+18
3.62779060816015E+01;-9.5330940E-02;3.8083505E+18
3.63260200153967E+01;-9.5512574E-02;3.8181301E+18
3.63741339491920E+01;-9.6275292E-02;3.8282026E+18
3.64222478829872E+01;-9.5360424E-02;3.8384967E+18
3.64703618167824E+01;-9.4622443E-02;3.8488236E+18
3.65184757505776E+01;-9.4415637E-02;3.8590016E+18
3.65665896843729E+01;-9.4108274E-02;3.8690247E+18
3.66147036181681E+01;-9.4297098E-02;3.8791088E+18
3.66628175519633E+01;-9.4254325E-02;3.8895749E+18
3.67109314857586E+01;-9.4315238E-02;3.9006950E+18
3.67590454195538E+01;-9.4387570E-02;3.9128587E+18
3.68071593533490E+01;-9.3443506E-02;3.9262658E+18
3.68552732871442E+01;-9.2912163E-02;3.9407056E+18
3.69033872209395E+01;-9.2969650E-02;3.9553570E+18
3.69515011547347E+01;-9.2332369E-02;3.9694432E+18
3.69996150885299E+01;-9.2550186E-02;3.9826848E+18
3.70477290223252E+01;-9.1952576E-02;3.9952965E+18
3.70958429561204E+01;-9.2459246E-02;4.0080999E+18
3.71439568899156E+01;-9.1544663E-02;4.0220578E+18
3.71920708237108E+01;-9.1059756E-02;4.0374213E+18
3.72401847575061E+01;-9.0422181E-02;4.0537708E+18
3.72882986913013E+01;-9.0411193E-02;4.0705373E+18
3.73364126250965E+01;-8.9549202E-02;4.0873851E+18
3.73845265588917E+01;-8.9862866E-02;4.1044187E+18
3.74326404926870E+01;-8.8814333E-02;4.1214869E+18
3.74807544264822E+01;-8.8975331E-02;4.1382375E+18
3.75288683602774E+01;-8.8429871E-02;4.1547724E+18
3.75769822940727E+01;-8.7857245E-02;4.1712706E+18
3.76250962278679E+01;-8.7123601E-02;4.1879955E+18
3.76732101616631E+01;-8.6826021E-02;4.2055639E+18
3.77213240954583E+01;-8.6043604E-02;4.2244339E+18
3.77694380292536E+01;-8.5672115E-02;4.2443893E+18
3.78175519630488E+01;-8.5392262E-02;4.2649576E+18
3.78656658968440E+01;-8.4432113E-02;4.2855711E+18
3.79137798306393E+01;-8.4640218E-02;4.3055579E+18
3.79618937644345E+01;-8.3588044E-02;4.3246182E+18
3.80100076982297E+01;-8.3191887E-02;4.3431413E+18
3.80581216320249E+01;-8.2385764E-02;4.3620106E+18
3.81062355658202E+01;-8.2065938E-02;4.3820670E+18
3.81543494996154E+01;-8.0967317E-02;4.4035534E+18
3.82024634334106E+01;-8.1585563E-02;4.4259028E+18
3.82505773672059E+01;-7.9924363E-02;4.4485860E+18
3.82986913010011E+01;-7.9468229E-02;4.4712376E+18
3.83468052347963E+01;-7.9066579E-02;4.4936178E+18
3.83949191685915E+01;-7.8030293E-02;4.5158122E+18
3.84430331023868E+01;-7.7437269E-02;4.5379809E+18
3.84911470361820E+01;-7.7730255E-02;4.5599686E+18
3.85392609699772E+01;-7.6154108E-02;4.5819099E+18
3.85873749037725E+01;-7.5567292E-02;4.6044213E+18
3.86354888375677E+01;-7.5673623E-02;4.6280317E+18
3.86836027713629E+01;-7.3919739E-02;4.6527897E+18
3.87317167051581E+01;-7.3816133E-02;4.6783643E+18
3.87798306389534E+01;-7.3697508E-02;4.7041027E+18
3.88279445727486E+01;-7.1893047E-02;4.7292637E+18
3.88760585065438E+01;-7.1633891E-02;4.7535284E+18
3.89241724403391E+01;-7.1534748E-02;4.7772164E+18
3.89722863741343E+01;-6.9738891E-02;4.8011270E+18
3.90204003079295E+01;-6.9906226E-02;4.8258126E+18
3.90685142417247E+01;-6.9016838E-02;4.8516875E+18
3.91166281755200E+01;-6.7509811E-02;4.8788924E+18
3.91647421093152E+01;-6.7302056E-02;4.9066638E+18
3.92128560431104E+01;-6.6932351E-02;4.9342040E+18
3.92609699769057E+01;-6.5274525E-02;4.9612918E+18
3.93090839107009E+01;-6.5098218E-02;4.9878775E+18
3.93571978444961E+01;-6.4290085E-02;5.0143090E+18
3.94053117782913E+01;-6.3096081E-02;5.0410059E+18
3.94534257120866E+01;-6.3053033E-02;5.0680530E+18
3.95015396458818E+01;-6.1827744E-02;5.0955827E+18
3.95496535796770E+01;-6.0805550E-02;5.1240137E+18
3.95977675134723E+01;-6.0172952E-02;5.1535520E+18
3.96458814472675E+01;-5.9558238E-02;5.1837637E+18
3.96939953810627E+01;-5.8303439E-02;5.2138490E+18
3.97421093148579E+01;-5.8084874E-02;5.2430881E+18
3.97902232486532E+01;-5.6860468E-02;5.2715418E+18
3.98383371824484E+01;-5.5928369E-02;5.2999181E+18
3.98864511162436E+01;-5.5925341E-02;5.3287744E+18
3.99345650500389E+01;-5.4376167E-02;5.3585865E+18
3.99826789838341E+01;-5.3965196E-02;5.3895520E+18
4.00307929176293E+01;-5.2793760E-02;5.4215799E+18
4.00789068514245E+01;-5.2110984E-02;5.4541486E+18
4.01270207852198E+01;-5.1107080E-02;5.4862667E+18
4.01751347190150E+01;-5.0871119E-02;5.5174080E+18
4.02232486528102E+01;-4.9445261E-02;5.5479267E+18
4.02713625866055E+01;-4.8473661E-02;5.5786590E+18
4.03194765204007E+01;-4.8542947E-02;5.6102649E+18
4.03675904541959E+01;-4.6805641E-02;5.6426277E+18
4.04157043879911E+01;-4.6592421E-02;5.6756319E+18
4.04638183217864E+01;-4.5235167E-02;5.7095610E+18
4.05119322555816E+01;-4.4439504E-02;5.7442773E+18
4.05600461893768E+01;-4.3818371E-02;5.7789012E+18
4.06081601231721E+01;-4.2938547E-02;5.8126692E+18
4.06562740569673E+01;-4.2041748E-02;5.8454896E+18
4.07043879907625E+01;-4.0839058E-02;5.8782765E+18
4.07525019245577E+01;-4.0640161E-02;5.9119961E+18
4.08006158583530E+01;-3.9282012E-02;5.9467368E+18
4.08487297921482E+01;-3.8713992E-02;5.9823687E+18
4.08968437259434E+01;-3.7556421E-02;6.0189207E+18
4.09449576597387E+01;-3.6560753E-02;6.0561130E+18
4.09930715935339E+01;-3.6617736E-02;6.0930041E+18
4.10411855273291E+01;-3.4980751E-02;6.1286981E+18
4.10892994611243E+01;-3.4240624E-02;6.1635040E+18
4.11374133949196E+01;-3.3126718E-02;6.1987048E+18
4.11855273287148E+01;-3.2377387E-02;6.2351620E+18
4.12336412625100E+01;-3.2046383E-02;6.2727973E+18
4.12817551963053E+01;-3.0832097E-02;6.3111583E+18
4.13298691301005E+01;-2.9834271E-02;6.3500253E+18
4.13779830638957E+01;-2.8751428E-02;6.3894057E+18
4.14260969976909E+01;-2.8262759E-02;6.4284418E+18
4.14742109314862E+01;-2.7424870E-02;6.4662901E+18
4.15223248652814E+01;-2.6451819E-02;6.5035137E+18
4.15704387990766E+01;-2.5504259E-02;6.5413247E+18
4.16185527328719E+01;-2.4420800E-02;6.5805891E+18
4.16666666666671E+01;-2.4195205E-02;6.6210765E+18
4.17147806004623E+01;-2.2811043E-02;6.6622239E+18
4.17628945342575E+01;-2.1934636E-02;6.7037043E+18
4.18110084680528E+01;-2.1261054E-02;6.7452897E+18
4.18591224018480E+01;-2.0134888E-02;6.7862739E+18
4.19072363356432E+01;-1.9368748E-02;6.8261749E+18
4.19553502694385E+01;-1.8192353E-02;6.8658938E+18
4.20034642032337E+01;-1.7475918E-02;6.9067898E+18
4.20515781370289E+01;-1.7120645E-02;6.9493043E+18
4.20996920708241E+01;-1.5891499E-02;6.9928816E+18
4.21478060046194E+01;-1.4651880E-02;7.0367989E+18
4.21959199384146E+01;-1.3753009E-02;7.0805452E+18
4.22440338722098E+01;-1.3081095E-02;7.1240571E+18
4.22921478060051E+01;-1.3103790E-02;7.1669985E+18
4.23402617398003E+01;-1.1194938E-02;7.2093231E+18
4.23883756735955E+01;-1.0303214E-02;7.2521505E+18
4.24364896073907E+01;-9.5065417E-03;7.2965100E+18
4.24846035411860E+01;-8.7624122E-03;7.3424146E+18
4.25327174749812E+01;-7.8189776E-03;7.3889978E+18
4.25808314087764E+01;-6.8671932E-03;7.4353474E+18
4.26289453425717E+01;-6.2578610E-03;7.4811392E+18
4.26770592763669E+01;-5.4857693E-03;7.5265574E+18
4.27251732101621E+01;-4.5366051E-03;7.5717581E+18
4.27732871439573E+01;-3.1618253E-03;7.6170478E+18
4.28214010777526E+01;-2.2956097E-03;7.6635129E+18
4.28695150115478E+01;-1.7208761E-03;7.7118303E+18
4.29176289453430E+01;-1.7123697E-03;7.7611485E+18
4.29657428791383E+01;3.8666841E-04;7.8101674E+18
4.30138568129335E+01;1.1703781E-03;7.8582531E+18
4.30619707467287E+01;1.8550667E-03;7.9059044E+18
4.31100846805239E+01;2.5827309E-03;7.9538822E+18
4.31581986143192E+01;3.8428100E-03;8.0022690E+18
4.32063125481144E+01;4.6770679E-03;8.0512835E+18
4.32544264819096E+01;5.3053375E-03;8.1018257E+18
4.33025404157049E+01;5.5187755E-03;8.1537364E+18
4.33506543495001E+01;7.1787590E-03;8.2055388E+18
4.33987682832953E+01;8.3527881E-03;8.2562391E+18
4.34468822170905E+01;9.0101486E-03;8.3064172E+18
4.34949961508858E+01;9.6612644E-03;8.3569500E+18
4.35431100846810E+01;1.0501683E-02;8.4081114E+18
4.35912240184762E+01;1.1816802E-02;8.4599825E+18
4.36393379522715E+01;1.2351967E-02;8.5132444E+18
4.36874518860667E+01;1.2598417E-02;8.5681651E+18
4.37355658198619E+01;1.3660189E-02;8.6228800E+18
4.37836797536571E+01;1.5351294E-02;8.6758209E+18
4.38317936874524E+01;1.6071382E-02;8.7280656E+18
4.38799076212476E+01;1.6660092E-02;8.7813459E+18
4.39280215550428E+01;1.7163909E-02;8.8358803E+18
4.39761354888381E+01;1.8886833E-02;8.8913473E+18
4.40242494226333E+01;1.9438488E-02;8.9476172E+18
4.40723633564285E+01;1.9904113E-02;9.0047761E+18
4.41204772902237E+01;2.0122606E-02;9.0617374E+18
4.41685912240190E+01;2.2344920E-02;9.1172670E+18
4.42167051578142E+01;2.3021178E-02;9.1726635E+18
4.42648190916094E+01;2.3508860E-02;9.2293532E+18
4.43129330254047E+01;2.4138191E-02;9.2868652E+18
4.43610469591999E+01;2.5852078E-02;9.3450486E+18
4.44091608929951E+01;2.6481166E-02;9.4043707E+18
4.44572748267903E+01;2.7051368E-02;9.4647279E+18
4.45053887605856E+01;2.7363019E-02;9.5246073E+18
4.45535026943808E+01;2.9289696E-02;9.5826279E+18
4.46016166281760E+01;2.9830670E-02;9.6403517E+18
4.46497305619713E+01;3.0052272E-02;9.6999550E+18
4.46978444957665E+01;3.0579685E-02;9.7613625E+18
4.47459584295617E+01;3.2758789E-02;9.8237178E+18
4.47940723633569E+01;3.3375322E-02;9.8865056E+18
4.48421862971522E+01;3.3806103E-02;9.9487672E+18
4.48903002309474E+01;3.4366168E-02;1.0010050E+19
4.49384141647426E+01;3.6186444E-02;1.0070936E+19
4.49865280985379E+01;3.6734866E-02;1.0133040E+19
4.50346420323331E+01;3.7253904E-02;1.0197087E+19
4.50827559661283E+01;3.7625696E-02;1.0261750E+19
4.51308698999235E+01;3.9586686E-02;1.0326348E+19
4.51789838337188E+01;3.9964496E-02;1.0391203E+19
4.52270977675140E+01;4.0392281E-02;1.0455390E+19
4.52752117013092E+01;4.1089070E-02;1.0517239E+19
4.53233256351045E+01;4.2951797E-02;1.0576176E+19
4.53714395688997E+01;4.3346658E-02;1.0633668E+19
4.54195535026949E+01;4.3678892E-02;1.0691361E+19
4.54676674364901E+01;4.4849178E-02;1.0749313E+19
4.55157813702854E+01;4.6262319E-02;1.0806809E+19
4.55638953040806E+01;4.6722613E-02;1.0863308E+19
4.56120092378758E+01;4.7156207E-02;1.0917832E+19
4.56601231716711E+01;4.8478966E-02;1.0970467E+19
4.57082371054663E+01;4.9556757E-02;1.1022461E+19
4.57563510392615E+01;5.0007912E-02;1.1074452E+19
4.58044649730567E+01;5.0437258E-02;1.1125419E+19
4.58525789068520E+01;5.2061881E-02;1.1173736E+19
4.59006928406472E+01;5.2815982E-02;1.1219352E+19
4.59488067744424E+01;5.3202020E-02;1.1262789E+19
4.59969207082377E+01;5.3616893E-02;1.1302924E+19
4.60450346420329E+01;5.5488529E-02;1.1338774E+19
4.60931485758281E+01;5.5909002E-02;1.1371645E+19
4.61412625096233E+01;5.6455453E-02;1.1403000E+19
4.61893764434186E+01;5.6903063E-02;1.1433821E+19
4.62374903772138E+01;5.8664994E-02;1.1464080E+19
4.62856043110090E+01;5.8941684E-02;1.1493839E+19
4.63337182448043E+01;5.9307279E-02;1.1522692E+19
4.63818321785995E+01;6.0374624E-02;1.1549362E+19
4.64299461123947E+01;6.1674195E-02;1.1574533E+19
4.64780600461899E+01;6.1986753E-02;1.1598576E+19
4.65261739799852E+01;6.2229317E-02;1.1620371E+19
4.65742879137804E+01;6.3902430E-02;1.1639451E+19
4.66224018475756E+01;6.4602348E-02;1.1657110E+19
4.66705157813709E+01;6.4749242E-02;1.1674732E+19
4.67186297151661E+01;6.5030073E-02;1.1691535E+19
4.67667436489613E+01;6.7012426E-02;1.1706238E+19
4.68148575827565E+01;6.7358389E-02;1.1720007E+19
4.68629715165518E+01;6.7588105E-02;1.1733412E+19
4.69110854503470E+01;6.8257546E-02;1.1746297E+19
4.69591993841422E+01;6.9780176E-02;1.1758584E+19
4.70073133179375E+01;6.9925598E-02;1.1770030E+19
4.70554272517327E+01;7.0345548E-02;1.1780538E+19
4.71035411855279E+01;7.1636090E-02;1.1789887E+19
4.71516551193231E+01;7.2432563E-02;1.1799089E+19
4.71997690531184E+01;7.2673556E-02;1.1807808E+19
4.72478829869136E+01;7.3017978E-02;1.1814595E+19
4.72959969207088E+01;7.4415666E-02;1.1819710E+19
4.73441108545041E+01;7.4792140E-02;1.1824871E+19
4.73922247882993E+01;7.5321300E-02;1.1829873E+19
4.74403387220945E+01;7.5604323E-02;1.1833486E+19
4.74884526558897E+01;7.6957787E-02;1.1835925E+19
4.75365665896850E+01;7.7402692E-02;1.1838561E+19
4.75846805234802E+01;7.7853352E-02;1.1841577E+19
4.76327944572754E+01;7.8496015E-02;1.1844154E+19
4.76809083910707E+01;7.9234534E-02;1.1846368E+19
4.77290223248659E+01;7.9850445E-02;1.1848416E+19
4.77771362586611E+01;8.0262319E-02;1.1850199E+19
4.78252501924563E+01;8.0903869E-02;1.1852632E+19
4.78733641262516E+01;8.1635916E-02;1.1855420E+19
4.79214780600468E+01;8.2110306E-02;1.1857317E+19
4.79695919938420E+01;8.2542951E-02;1.1858610E+19
4.80177059276373E+01;8.3188282E-02;1.1860753E+19
4.80658198614325E+01;8.3758976E-02;1.1864068E+19
4.81139337952277E+01;8.4168560E-02;1.1866500E+19
4.81620477290229E+01;8.4686777E-02;1.1867896E+19
4.82101616628182E+01;8.5251054E-02;1.1870100E+19
4.82582755966134E+01;8.5577643E-02;1.1873444E+19
