t;slip_2;slip_3;slip_rate_2;slip_rate_3;shear_stress_2;shear_stress_3;state
0.00000000000000E+00;0.0000000E+00;0.0000000E+00;-9.0000000E+00;-2.0000000E+01;2.5855347E+01;2.5855347E-10;7.6020600E+00
4.81139337952271E-02;4.8114129E-11;-3.4414931E-18;-8.9999965E+00;-1.5845073E+01;2.5855357E+01;-3.6938043E-06;7.6020600E+00
1.44341801385681E-01;1.4434356E-10;-3.0919081E-17;-8.9999894E+00;-1.5369111E+01;2.5855377E+01;-1.1051701E-05;7.6020600E+00
3.36797536566590E-01;3.3680713E-10;-1.6781442E-16;-8.9999752E+00;-1.5003371E+01;2.5855418E+01;-2.5654053E-05;7.6020600E+00
7.21709006928406E-01;7.2175315E-10;-7.6614181E-16;-8.9999467E+00;-1.4676424E+01;2.5855500E+01;-5.4459729E-05;7.6020600E+00
1.49153194765204E+00;1.4917213E-09;-3.2391743E-15;-8.9998891E+00;-1.4367734E+01;2.5855666E+01;-1.1084376E-04;7.6020600E+00
3.03117782909931E+00;3.0319664E-09;-1.3168294E-14;-8.9997710E+00;-1.4068235E+01;2.5856006E+01;-2.2085018E-04;7.6020600E+00
6.11046959199384E+00;6.1137359E-09;-5.2537334E-14;-8.9995208E+00;-1.3768699E+01;2.5856726E+01;-4.3994167E-04;7.6020600E+00
8.99730561970747E+00;9.0045746E-09;-1.1343483E-13;-8.9992643E+00;-1.3595563E+01;2.5857464E+01;-6.5506861E-04;7.6020600E+00
1.14030023094688E+01;1.1414974E-08;-1.8316151E-13;-8.9990289E+00;-1.3483416E+01;2.5858142E+01;-8.4763817E-04;7.6020600E+00
1.34719014626636E+01;1.3489012E-08;-2.5807137E-13;-8.9988063E+00;-1.3399747E+01;2.5858783E+01;-1.0272282E-03;7.6020600E+00
1.52521170130870E+01;1.5274542E-08;-3.3457771E-13;-8.9985955E+00;-1.3333620E+01;2.5859389E+01;-1.1956214E-03;7.6020600E+00
1.67436489607390E+01;1.6771225E-08;-4.0805087E-13;-8.9984016E+00;-1.3280860E+01;2.5859947E+01;-1.3494891E-03;7.6020600E+00
1.80427251732102E+01;1.8075357E-08;-4.7963931E-13;-8.9982168E+00;-1.3236058E+01;2.5860479E+01;-1.4955300E-03;7.6020600E+00
1.91493456505004E+01;1.9186741E-08;-5.4670634E-13;-8.9980449E+00;-1.3198247E+01;2.5860974E+01;-1.6309576E-03;7.6020600E+00
2.01116243264049E+01;2.0153535E-08;-6.0997658E-13;-8.9978822E+00;-1.3165298E+01;2.5861442E+01;-1.7588845E-03;7.6020600E+00
2.09776751347190E+01;2.1023973E-08;-6.7119759E-13;-8.9977230E+00;-1.3135326E+01;2.5861900E+01;-1.8839000E-03;7.6020600E+00
2.16993841416474E+01;2.1749591E-08;-7.2557996E-13;-8.9975791E+00;-1.3109921E+01;2.5862315E+01;-1.9967585E-03;7.6020600E+00
2.23729792147806E+01;2.2427061E-08;-7.7932055E-13;-8.9974338E+00;-1.3085690E+01;2.5862733E+01;-2.1106610E-03;7.6020600E+00
2.29503464203233E+01;2.3007936E-08;-8.2786788E-13;-8.9972992E+00;-1.3064376E+01;2.5863120E+01;-2.2161769E-03;7.6020600E+00
2.34314857582756E+01;2.3492142E-08;-8.7021428E-13;-8.9971786E+00;-1.3046120E+01;2.5863467E+01;-2.3107078E-03;7.6020600E+00
2.38645111624326E+01;2.3928046E-08;-9.0990161E-13;-8.9970624E+00;-1.3029218E+01;2.5863802E+01;-2.4018003E-03;7.6020600E+00
2.42494226327945E+01;2.4315618E-08;-9.4652069E-13;-8.9969520E+00;-1.3013741E+01;2.5864119E+01;-2.4883343E-03;7.6020600E+00
2.46343341031563E+01;2.4703291E-08;-9.8448827E-13;-8.9968340E+00;-1.2997759E+01;2.5864459E+01;-2.5809435E-03;7.6020600E+00
2.49711316397229E+01;2.5042595E-08;-1.0188974E-12;-8.9967234E+00;-1.2983284E+01;2.5864778E+01;-2.6677712E-03;7.6020600E+00
2.52598152424942E+01;2.5333497E-08;-1.0493350E-12;-8.9966222E+00;-1.2970449E+01;2.5865069E+01;-2.7471762E-03;7.6020600E+00
2.55003849114704E+01;2.5575970E-08;-1.0754085E-12;-8.9965329E+00;-1.2959408E+01;2.5865326E+01;-2.8173623E-03;7.6020600E+00
2.57409545804465E+01;2.5818493E-08;-1.1021636E-12;-8.9964384E+00;-1.2948011E+01;2.5865598E+01;-2.8916808E-03;7.6020600E+00
2.59334103156274E+01;2.6012551E-08;-1.1240883E-12;-8.9963585E+00;-1.2938603E+01;2.5865828E+01;-2.9544892E-03;7.6020600E+00
2.61258660508083E+01;2.6206646E-08;-1.1465002E-12;-8.9962745E+00;-1.2928907E+01;2.5866070E+01;-3.0206319E-03;7.6020600E+00
2.63183217859892E+01;2.6400779E-08;-1.1694259E-12;-8.9961858E+00;-1.2918892E+01;2.5866325E+01;-3.0905019E-03;7.6020600E+00
2.64626635873749E+01;2.6546405E-08;-1.1869771E-12;-8.9961159E+00;-1.2911145E+01;2.5866526E+01;-3.1456361E-03;7.6020600E+00
2.66070053887606E+01;2.6692056E-08;-1.2048484E-12;-8.9960427E+00;-1.2903179E+01;2.5866737E+01;-3.2033555E-03;7.6020600E+00
2.67513471901463E+01;2.6837732E-08;-1.2230554E-12;-8.9959659E+00;-1.2894972E+01;2.5866958E+01;-3.2639204E-03;7.6020600E+00
2.68956889915320E+01;2.6983434E-08;-1.2416151E-12;-8.9958852E+00;-1.2886499E+01;2.5867190E+01;-3.3276308E-03;7.6020600E+00
