time;interevent;moment;mag;Area;MeanSlip;MeanStress;hypo_x;hypo_y
2.3881734263527077e6;2.3881734263527077e6;1.0471584305577014e11;1.3133415956889334;2105.0;0.0015527204228926908;-2.4436301460051173e6;0.8823529411764706;-0.5882352941176471
5.40450676908405e6;3.0163333427313427e6;1.0394256408708838e11;1.3111956172857464;2114.0;0.0015346926560669838;-2.398137527504437e6;-1.0;-13.0
8.478077735904986e6;3.0735709668209357e6;1.0654783190006093e11;1.31836307790165;2116.0;0.0015716720337900897;-2.4438839752990156e6;-0.5;-14.0
1.1575901784938889e7;3.0978240490339026e6;1.0685908779356668e11;1.3192076416615326;2117.0;0.0015755187514758858;-2.4535124944616007e6;-0.5;-10.0
1.4674446015653223e7;3.098544230714334e6;1.0522707990795659e11;1.3147516791508476;2113.0;0.0015543935791359849;-2.437219232985465e6;0.13333333333333333;-17.8
1.7775123590099484e7;3.100677574446261e6;1.0495066708843483e11;1.313990135595957;2116.0;0.0015481124810237707;-2.426727747884042e6;0.0;-8.0
2.088744955646375e7;3.1123259663642645e6;1.059742771919712e11;1.3168003087346218;2114.0;0.0015646905227608078;-2.4488042773742457e6;0.0;-11.0
2.398105922846792e7;3.0936096720041707e6;1.0458605855307234e11;1.3129825309430707;2116.0;0.001542734191967191;-2.4203113961054203e6;0.0;-8.0
2.709463260329535e7;3.1135733748274297e6;1.0592101300595482e11;1.3166547504101278;2114.0;0.0015639040869457144;-2.4480932713419152e6;-0.5;-11.0
3.0187151891486023e7;3.092519288190674e6;1.0479138321268375e11;1.3135503819621057;2116.0;0.0015457629070485211;-2.4239537775691873e6;-1.0;-8.0
3.33003693658384e7;3.1132174743523784e6;1.0575647015961458e11;1.3162046312727398;2114.0;0.0015614746423759697;-2.4448401488710046e6;-0.5;-11.0
3.63950298554539e7;3.0946604896155e6;1.0467028330305898e11;1.3132155997607053;2116.0;0.0015439765793696031;-2.421548527102933e6;0.0;-8.0
3.950796923772256e7;3.11293938226866e6;1.0592021768229944e11;1.3166525764255586;2114.0;0.0015638923441396385;-2.447474253558437e6;-0.5;-11.0
4.260124799636633e7;3.0932787586437687e6;1.0463316966517482e11;1.3131129211023473;2116.0;0.0015434291213341413;-2.4208878193056644e6;0.0;-8.0
4.571511519587042e7;3.1138671995040923e6;1.0590923627029103e11;1.316622557517712;2113.0;0.0015644702577866413;-2.4494292795225433e6;-0.5;-11.0
4.880629997408895e7;3.09118477821853e6;1.0467593276600125e11;1.3132312263823411;2116.0;0.00154405991380029;-2.4221731743560345e6;0.0;-8.0
5.1921286739002086e7;3.1149867649131343e6;1.0585628539441106e11;1.3164777667226535;2114.0;0.0015629483957815273;-2.447145568940166e6;-0.5;-11.0
5.501439671890223e7;3.093109979900144e6;1.0466995384390677e11;1.3132146884385836;2116.0;0.0015439717195641378;-2.421873057456191e6;0.0;-8.0
5.812983944604166e7;3.1154427271394283e6;1.0586851291303786e11;1.316511208523302;2114.0;0.0015631289328233379;-2.4471932708878666e6;0.0;-11.0
6.1223149751141764e7;3.0933103051001057e6;1.0461650058061278e11;1.313066792529715;2116.0;0.001543183238019879;-2.4209649254544373e6;0.0;-8.0
6.4337344179361075e7;3.114194428219311e6;1.058228406184484e11;1.316386276789795;2113.0;0.0015631940383324197;-2.447634431835518e6;-0.5;-11.0
6.742974977125952e7;3.0924055918984413e6;1.0476469810768814e11;1.3134766439037726;2116.0;0.0015453692788301666;-2.423075064995913e6;-0.5;-8.0
7.054342506332785e7;3.1136752920683324e6;1.058167352146691e11;1.3163695720176278;2112.0;0.001563843956507088;-2.449884335488969e6;-0.5;-11.0
7.363763651234184e7;3.094211449013993e6;1.0456583295781364e11;1.3129265342261836;2116.0;0.0015424358470654885;-2.4192356323278714e6;0.5;-8.0
7.67509772483955e7;3.1133407360536605e6;1.0606829633021536e11;1.3170570621776083;2116.0;0.0015645984722647758;-2.4426802225439344e6;0.0;-11.0
7.984447301787262e7;3.093495769477114e6;1.0473887536526399e11;1.3134052708993995;2116.0;0.0015449883712004189;-2.4234092149188947e6;-0.5;-8.0
8.29608612615824e7;3.1163882437097877e6;1.0580961188100337e11;1.3163500809063844;2114.0;0.0015622592700235789;-2.446785379239162e6;0.0;-11.0
