Benchmark: bp4-qd (Strike-Slip Fault in a 3D Wholespace)
 
User: barbot.6 (Motorcycle, SBEM, dx=500m, W=120, L=120)
 
File: fltst_strk-165dp-120 (x2 = -16.5, x3 = -12.0 km)
            

# problem=Benchmark problem (BP4-QD)
# author=Sylvain Barbot
# date=Tue Mar 30 22:47:11 PDT 2021
# code=motorcycle-3d-ratestate
# code_version=beta
# element_size=500 m
# minimum_time_step=0.001
# maximum_time_step=12642527.3214
# num_time_steps=2932
# location=on fault, km depth
# Column #1 = Time (s)
# Column #2 = Slip_2 (m)
# Column #3 = Slip_3 (m)
# Column #4 = Slip_rate_2 (log10 m/s)
# Column #5 = Slip_rate_3 (log10 m/s)
# Column #6 = Shear_stress_2 (MPa)
# Column #7 = Shear_stress_3 (MPa)
# Column #8 = State (log10 s)
# The line below lists the names of the data fields
t slip_2 slip_3 slip_rate_2 slip_rate_3 shear_stress_2 shear_stress_3 state
# Here is the time-series data.
3.783575699985E+01 3.41894e-08 5.464419465322E-012 -8.82786 -11.6157 -3.237379534195E+001 5.276432462952E-002 7.602060033494E+000
3.801141082735E+01 3.44541e-08 5.907202598371E-012 -8.81574 -11.5841 -3.238286776133E+001 5.520783427755E-002 7.602060032526E+000
3.818522646049E+01 3.47235e-08 6.370522979871E-012 -8.80364 -11.566 -3.239191519374E+001 5.598737798562E-002 7.602060031488E+000
3.835013183559E+01 3.49862e-08 6.825500032811E-012 -8.79195 -11.5521 -3.240066783765E+001 5.629054476809E-002 7.602060030427E+000
3.849486538084E+01 3.52227e-08 7.239348889960E-012 -8.78131 -11.5341 -3.240862901770E+001 5.726326245896E-002 7.602060029430E+000
3.864443022164E+01 3.54735e-08 7.689895796907E-012 -8.76969 -11.5067 -3.241732118727E+001 5.939202093837E-002 7.602060028331E+000
3.879418239488E+01 3.57316e-08 8.174039447060E-012 -8.75739 -11.4744 -3.242651670498E+001 6.220962274382E-002 7.602060027155E+000
3.895975799500E+01 3.60258e-08 8.748934257582E-012 -8.74344 -11.4469 -3.243694985010E+001 6.420772396563E-002 7.602060025758E+000
3.906720449474E+01 3.62218e-08 9.138265136274E-012 -8.73434 -11.4356 -3.244375972414E+001 6.455296979132E-002 7.602060024797E+000
3.920194483137E+01 3.64735e-08 9.638527608290E-012 -8.72274 -11.4251 -3.245244013275E+001 6.440338247513E-002 7.602060023526E+000
3.936255696944E+01 3.67827e-08 1.025488834523E-011 -8.70831 -11.4041 -3.246324203454E+001 6.539619817269E-002 7.602060021914E+000
3.954485272949E+01 3.71468e-08 1.100510316324E-011 -8.69071 -11.366 -3.247640276716E+001 6.859311278953E-002 7.602060019940E+000
3.971880455340E+01 3.75087e-08 1.178925923166E-011 -8.67272 -11.3275 -3.248985821300E+001 7.193896254629E-002 7.602060017899E+000
3.991183679535E+01 3.79288e-08 1.272919134351E-011 -8.65202 -11.2999 -3.250535101272E+001 7.312714194429E-002 7.602060015434E+000
4.006791348036E+01 3.82835e-08 1.352741243436E-011 -8.63491 -11.2833 -3.251815170508E+001 7.307337902114E-002 7.602060013278E+000
4.023247839869E+01 3.86732e-08 1.440527676839E-011 -8.61607 -11.2597 -3.253224969121E+001 7.390311474838E-002 7.602060010833E+000
4.039217824289E+01 3.90686e-08 1.532023283872E-011 -8.5963 -11.2234 -3.254703797731E+001 7.681389595862E-002 7.602060008274E+000
4.056417223730E+01 3.95159e-08 1.640304712550E-011 -8.57331 -11.1792 -3.256423020982E+001 8.070449640880E-002 7.602060005285E+000
4.073778890253E+01 3.99929e-08 1.759885347622E-011 -8.54891 -11.1476 -3.258248553467E+001 8.209019696922E-002 7.602060001991E+000
4.089163400950E+01 4.04388e-08 1.872328095705E-011 -8.52672 -11.1254 -3.259909323684E+001 8.213183022753E-002 7.602059998820E+000
4.106676967918E+01 4.09754e-08 2.007656646928E-011 -8.5005 -11.0953 -3.261871298507E+001 8.291863609599E-002 7.602059994895E+000
4.123393282016E+01 4.15202e-08 2.149004549565E-011 -8.47315 -11.0499 -3.263917196295E+001 8.649108467760E-002 7.602059990795E+000
4.139250958170E+01 4.20712e-08 2.298443525317E-011 -8.4448 -11.0014 -3.266037799201E+001 9.066843246252E-002 7.602059986535E+000
