 t slip_2 slip_3 slip_rate_2 slip_rate_3 shear_stress_2 shear_stress_3 state
0 0.0 0.0 0.0 -9.06016 -16.1185 -32.20000076294 -2.815013582818e-06 7.602059993903
1 4.73078429148 4.11908e-09 1.728304304307e-17 -9.0601 -16.0306 -32.20004423828 3.446526635189e-06 7.602060000545
2 21.76648428479 1.89577e-08 9.668418333169e-15 -9.05979 -14.9176 -32.20028050909 4.467468763887e-05 7.602060024399
3 30.79169488441 2.68257e-08 2.7115118824109997e-14 -9.05926 -14.4939 -32.20067804483 0.0001183683933474 7.602060036963
4 32.87664990357 2.86459e-08 3.6065644153849996e-14 -9.05844 -14.1969 -32.20129205091 0.0002341048343313 7.602060039838
5 33.54150115693 2.92278e-08 4.1600801100309996e-14 -9.05717 -13.9489 -32.20223879959 0.0004132014808717 7.602060040739
6 33.75324906029 2.94136e-08 4.4317336091289995e-14 -9.0563 -13.8344 -32.20289136735 0.0005367414186162 7.602060041021
7 33.8591472431 2.95067e-08 4.598316386316e-14 -9.05572 -13.7726 -32.20332153692 0.0006180829894166 7.60206004116
8 33.94458044089 2.95819e-08 4.7513188721729995e-14 -9.05519 -13.7219 -32.20372037568 0.0006937408352981 7.602060041271
9 34.04232481774 2.9668e-08 4.949512182225e-14 -9.05451 -13.6645 -32.20423262091 0.0007905830633052 7.602060041397
10 34.13040750488 2.97458e-08 5.15195408362e-14 -9.05382 -13.6139 -32.2047444771 0.0008868011431059 7.602060041509
11 34.23256087652 2.98361e-08 5.417648147229e-14 -9.05295 -13.556 -32.20539596352 0.001011230143692 7.602060041637
12 34.32335024256 2.99165e-08 5.684810134401e-14 -9.05211 -13.508 -32.20602370187 0.001127437923827 7.60206004175
13 34.41970581039 3.00021e-08 6.001831517283e-14 -9.05116 -13.4577 -32.20673455008 0.001263160379766 7.602060041867
14 34.51017379633 3.00826e-08 6.334163313596e-14 -9.05022 -13.4137 -32.20743830382 0.001394534869717 7.602060041975
15 34.6079633165 3.01698e-08 6.731352700653e-14 -9.04916 -13.3686 -32.20823420529 0.001543499467177 7.60206004209
16 34.70816153103 3.02594e-08 7.184088706948e-14 -9.04803 -13.3235 -32.20908044045 0.00170817154808 7.602060042205
17 34.81291092943 3.03533e-08 7.704621273487e-14 -9.04681 -13.2837 -32.20999012747 0.001866650388395 7.602060042323
18 34.90933369178 3.044e-08 8.230709445877e-14 -9.04567 -13.2435 -32.21084213003 0.002042660323184 7.602060042429
19 35.02345132923 3.05429e-08 8.912133726436e-14 -9.04431 -13.2057 -32.21186134168 0.002221237496587 7.602060042551
